"","PROJECT","SAMPLING_DATE","SITE","FIELD.REP","SAMPLE_DESCRIPTOR","OM.AREA.g.m2","ASH.AREA.g.m2","PHICOCYANIN.MG.M2","TOTAL.MG.M2.RITCHIE","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","Al.1","Alr.1","As.1","B.1","Br.1","Ba.1","Be.1","Car.1","Cd.1","Co.1","Cr.1","Cu.1","Fe.1","Fer.2","Fer.1.1","Kr.1","Lir.1","Mgr.1","Mn.1","Mnr.1","Mo.1","Nar.1","Ni.1","P.1","Pb.1","S.2","Sr.1","S.1.1","Sb.1","Se.1","Si.1","Sir.2","Sir.1.1","Sn.1","Srr.1","Ti.1","Tl.1","Zn.1","Znr.1"
"1","LTREB",2021-06-22,"WS",1,"EPIL",14.59139716,51.81816684,27.18115394,28.84298126,214.822695035461,228.687943262411,0.567375886524823,135.177304964539,145.567375886525,149.326241134752,0.0101382978723404,338.049645390071,0.0273510638297872,0.13968085106383,0.225921985815603,4.00709219858156,106.347517730496,120.780141843972,121.276595744681,148.404255319149,0.178262411347518,63.2624113475177,55.6028368794326,64.5035460992908,0.0302553191489362,352.801418439716,0.215921985815603,14.9078014184397,0.46063829787234,18.0815602836879,19.1560283687943,25.2340425531915,0.0219787234042553,0.0230941188191994,36.3475177304964,38.5106382978723,39.1489361702128,0.00745936904461142,2.87446808510638,5.1063829787234,0.00550309587127571,131.028368794326,150.815602836879,3134.56326224397,3336.87660584539,8.27880689929078,1972.42574375603,2124.03139509929,2178.87849080709,0.147931930781702,4932.61663568369,0.399090235088936,2.03813877351915,3.29651742221135,58.4690737262411,1551.75886818582,1762.35101868652,1769.5949747234,2165.42542959574,2.60109764267092,923.086969270922,811.323076130496,941.196859363121,0.441467377904681,5147.86561506525,3.15060345061135,217.525651278865,6.7213563513617,263.835227371773,279.513217937305,368.199936845957,0.320700282261277,0.336975459751168,530.361066985816,561.924018289362,571.237676051064,0.108842616292935,41.9425054535319,74.509262093617,0.0802978574673401,1911.88696830496,2200.61035891773
"2","LTREB",2021-06-22,"WS",3,"EPIL",8.388884185,32.53250209,23.02237192,26.23687612,50.8260869565217,53.7565217391304,0.119130434782609,35.1739130434783,37.5043478260869,37.4434782608696,0.00218695652173913,84.7391304347826,0.00422173913043478,0.0294173913043478,0.0499652173913043,0.810782608695652,22.6347826086957,25.8260869565217,25.9217391304348,37.104347826087,0.0452521739130435,15.5478260869565,9.33913043478261,10.5391304347826,0.00367913043478261,90.7826086956522,0.0450260869565217,2.46608695652174,0.0980869565217391,3.92173913043478,4.06260869565217,5.74608695652174,0.00174464845168447,0.00566307957131671,9.01739130434783,9.55652173913043,9.69565217391304,0.00182916701789602,0.723478260869565,1.10695652173913,0.00134945481365196,32.5565217391304,37.5739130434783,426.374157055,450.957235058,0.9993714203,295.069882855,314.619630347,314.109002614,0.0183461249785,710.866751155,0.0354156806245,0.246779088677,0.419152421974,6.80156140356,189.880569857,216.65205243,217.454467439,311.264076673,0.379615246076,130.428912372,78.344883606,88.411544628,0.0308637991189,761.56479036,0.377718628782,20.6877178684,0.82284011832,32.899015369,34.0807538368,48.2032579952,0.0146356538047206,0.0475069186542154,75.645851303,80.168554081,81.335703185,0.0153446702681515,6.0691753408,9.2861300587,0.011320420144617,273.112890336,315.203204899
"3","LTREB",2021-06-22,"GC",1,"EPIL",6.430503557,11.47201835,30.75324021,27.94277783,7.39514348785872,7.95253863134658,0.022075055187638,0.433057395143488,0.461865342163355,0.844922737306843,0.000319653930207438,127.980132450331,0.00383112582781457,0.00637969094922737,0.0132284768211921,0.210154525386313,8.33333333333333,8.96247240618101,8.97350993377484,4.27814569536424,0.00769315673289183,3.67770419426049,2.79028697571744,2.97185430463576,0.000478523495547004,9.75717439293598,0.0100331125827815,2.40121412803532,0.0546302428256071,3.19867549668874,3.52704194260486,5.92163355408389,0.0011072548120514,0.00359411782947805,3.38355408388521,3.53752759381898,3.62417218543046,0.00116089518243953,0.220971302428256,0.356401766004415,0.000856442072681981,1.13024282560706,1.17328918322296,47.5544965032009,51.1388279560541,0.141953720905077,2.78477711985535,2.97002672563648,5.43327866764183,0.00205553573520796,822.976696947185,0.0246360682630762,0.0410246253415673,0.0850657672523676,1.35139942301634,53.5875296416667,57.6332106874614,57.7041875479139,27.510631111404,0.0494708717354194,23.6494899027859,17.9429503224018,19.110519676846,0.00307714704022308,62.7435446400441,0.0645179661513576,15.4410159914498,0.35129997080984,20.5690941591457,22.6806557576087,38.079085632787,0.00712020600740191,0.0231119874867357,21.7579565717257,22.7480837750386,23.3052521295911,0.00746514059998153,1.42095674625982,2.29184282401247,0.00550735379474593,7.26803051033996,7.54484026610486
"4","LTREB",2021-06-22,"GC",1,"EPIL",6.430503557,11.47201835,30.75324021,27.94277783,20.9605488850772,23.1818181818182,0.0548885077186964,15.8619210977702,17.1483704974271,17.5600343053173,0.000649656946826758,166.423670668954,0.00707547169811321,0.01323756432247,0.0215437392795883,0.31951114922813,9.3138936535163,10.5403087478559,10.5660377358491,18.0403087478559,0.0110634648370497,4.99142367066895,1.33190394511149,1.47727272727273,0.000371820143195185,42.3070325900515,0.0171740994854202,1.92795883361921,0.0409048027444254,3.44854202401372,3.7401372212693,6.5180102915952,0.00302658662092624,0.00279268503731313,4.09519725557461,4.50257289879931,4.58833619210978,0.000902033477950437,0.550171526586621,0.355531732418525,0.000665468711706582,15.0428816466552,17.5771869639794,134.786884162161,149.070764275909,0.352960744123499,102.000140040064,110.272657480459,112.919863061385,0.00417762130739923,1070.1880062057,0.0454988459221698,0.0851242044616595,0.138537092068473,2.05461758161265,59.8930262684563,67.7794928949657,67.9449432437736,116.008269572466,0.0711436499873928,32.0973676687307,8.56481305662178,9.49960752738636,0.00239099075338089,272.055523556441,0.110438107829267,12.3977461373379,0.263038479546411,22.1758617518842,24.0509657050403,41.9140883646655,0.0194624760314348,0.0179583710660228,26.3341805185892,28.9538110413808,29.5053122040738,0.00580052948849337,3.53787995867539,2.2862480699437,0.00427929891770139,96.7333039363465,113.030163293924
"5","LTREB",2021-06-22,"BG",1,"EPIL",4.559811613,17.01160486,13.32429567,13.69942917,11.9644268774704,12.2924901185771,0.0343873517786561,0.306719367588933,0.32798418972332,0.724901185770751,0.000712648221343873,89.4861660079051,0.00389920948616601,0.00649407114624506,0.0170513833992095,0.35201581027668,12.1383399209486,13.600790513834,13.6640316205534,4.30434782608696,0.0118853754940711,5.28063241106719,1.16482213438735,1.24150197628459,0.000342721175466866,7.32806324110672,0.0122648221343874,1.49090909090909,0.0585375494071146,2.30158102766798,2.44545454545455,4.09881422924901,0.000793022023492941,0.00257412707787123,3.37193675889328,3.61818181818182,3.6897233201581,0.000831439553589099,0.199130434782609,0.492885375494071,0.00061338855165998,1.09288537549407,1.12885375494071,54.5555326187787,56.0514391953755,0.156799845980632,1.39858253426403,1.49554611718079,3.30541284515494,0.00324954163566759,408.040058965692,0.0177796606965395,0.0296117410282964,0.0777510960414308,1.60512577965921,55.348543334083,62.0170425309605,62.3054100637984,19.6270152037826,0.0541950732027312,24.0786889919684,5.31136949545889,5.6610151290249,0.00156274399591483,33.4145878675968,0.0559252783997589,6.79826458665454,0.266920197583123,10.4947758982209,11.1508120354273,18.6898207220593,0.00361603103208787,0.011737534543015,15.3753963915032,16.4982274724909,16.8244432440138,0.00379120773196311,0.907997269023478,2.24746445905573,0.00279693624114043,4.98335142685573,5.14736046115731
"6","LTREB",2021-06-22,"BG",1,"EPIL",4.559811613,17.01160486,13.32429567,13.69942917,25.5161854768154,27.6859142607174,0.0406824146981627,16.3692038495188,17.8958880139982,18.1627296587927,0.000867891513560805,102.274715660542,0.00374496937882765,0.0128827646544182,0.026172353455818,0.383595800524934,11.9641294838145,14.002624671916,14.0376202974628,19.3175853018373,0.0149387576552931,6.2992125984252,1.15179352580927,1.30227471566054,0.000379302088333846,43.4733158355206,0.0160236220472441,1.50568678915136,0.0566491688538933,2.31364829396325,2.51662292213473,4.23928258967629,0.00235826771653543,0.00284888079921882,4.07567804024497,4.55380577427821,4.62817147856518,0.000920184632799834,0.491688538932633,0.533245844269466,0.000678859595669182,15.3674540682415,18.6876640419948,116.348998856645,126.242553362542,0.185504146985564,74.6404858086002,81.6018779911767,82.8186256219423,0.00395742180235871,466.353436185214,0.0170763548639077,0.058742979878762,0.11934100122738,1.74912458593163,54.5541765597332,63.8493305914829,64.0089040512555,88.0845497944357,0.0681179206403981,28.7232227590551,5.25196149476334,5.93812737178521,0.00172954606721982,198.230130402423,0.0730646978933465,6.86564810671304,0.25830953800678,10.5498003592113,11.475326425892,19.3303299831947,0.0107532565204213,0.0129903597523307,18.5843240587581,20.7644964529003,21.1035900549169,0.00419586857474482,2.24200710980402,2.4315005932839,0.00309547186792882,70.0726955226116,85.2122275185302
"7","LTREB",2021-06-22,"BG",2,"EPIL",20.66530007,170.355731,16.80641334,40.98460408,NA,19.0681531342028,0.0470130416491376,0.0667122423222549,0.0715923432898612,0.338977702986958,0.00107067732435843,35.0021034917964,0.00370845603702146,0.00774190155658393,0.0157551535549011,0.514829617164493,12.3685317627261,18.0689945309213,18.6790071518721,3.7031973075305,0.0176903660075726,6.45666806899453,1.2736642827093,1.48506520824569,9.11952644016797e-05,2.009886411443,0.0127261253681111,1.13693731594447,0.08083718973496,1.95519562473706,2.10875052587295,2.68510727808162,0.000211016588077108,0.000684953881680082,1.97623054270088,2.14345814051325,2.18026924694994,0.000221239174440515,0.101272612536811,0.566049642406395,0.000163217609981042,0.791543962978544,0.870214556163231,NA,394.049106299011,0.971538612882836,1.37862850593195,1.47947725679943,7.00507594926483,0.0221258681860118,723.328971739167,0.0766363568014514,0.159988718779207,0.325584975860959,10.6391085236275,255.599420302061,373.401193944678,386.007287803113,76.5276835785339,0.365576721894615,133.428983098159,26.3206545906289,30.6893181519142,0.0018845775038237,41.534905799085,0.262989199460454,23.4951507947728,1.67052478268847,40.4047042807425,43.5779623899348,55.4885476216975,0.00436072111236102,0.0141547774990302,40.8393971724127,44.2952056611906,45.0559182216134,0.00457197392705232,2.09282892694605,11.6975857148443,0.00337294088696647,16.3574935135486,17.983244928395
"8","LTREB",2021-06-22,"BG",3,"EPIL",19.17459242,97.74365406,28.89283707,32.1622669,14.3478260869565,15.2831142568251,0.0374115267947422,0.361981799797776,0.385490394337715,0.977755308392316,0.000846309403437816,55.4600606673407,0.00335085945399393,0.00746713852376138,0.0175278058645096,0.366481294236603,14.7927199191102,16.2992922143579,16.3700707785642,5.19211324570273,0.0141102123356926,5.70778564206269,1.474216380182,1.56016177957533,0.000438364294201805,9.42366026289181,0.012896865520728,1.57735085945399,0.0679979777553084,1.80788675429727,1.91708796764408,3.0262891809909,0.00101433049516539,0.00329248812285855,3.5798786653185,3.80889787664307,3.8169868554095,0.00106346919645117,0.137714863498483,0.603640040444894,0.000784566752123231,1.30131445904954,1.34378159757331,275.113717330435,293.047486782912,0.71735077809909,6.94085347458038,7.39162119325076,18.7480595249141,0.0162276378721335,1063.42405888473,0.0642513642870374,0.143179337736805,0.336088533468857,7.02712944654095,283.644375232154,312.532284944793,313.889435065521,99.5566552848332,0.270557570496562,109.44446330728,28.2674982288776,29.9154662326188,0.00840545667280059,180.6948446455,0.247292139855511,30.245059833367,1.30383350884227,34.6654916551668,36.7593804128615,58.0278615905561,0.0194493738239731,0.0631321178035037,68.6427143205359,73.0340643540344,73.1891672249747,0.0203915883931761,2.64062637775935,11.5745517439232,0.0150437476982461,24.9521743625278,25.7664644349646
"9","LTREB",2021-06-22,"BG",4,"EPIL",0.800889988,69.196895,7.528365891,22.65372594,19.8568872987478,20.304114490161,0.0527728085867621,0.665295169946333,0.693112701252236,1.47853309481216,0.00113953488372093,41.3416815742397,0.0045608228980322,0.0100178890876565,0.0235062611806798,0.579338103756708,19.6690518783542,21.0912343470483,21.1091234347048,7.61985688729875,0.0187388193202147,7.20125223613596,2.71556350626118,2.85509838998211,0.000775567597433963,16.8336314847943,0.0180500894454383,1.61985688729875,0.103667262969589,2.40339892665474,2.53488372093023,3.41323792486583,0.00179458472221569,0.00582517129428821,7.24418604651163,7.59391771019678,7.58407871198569,0.00188152242449054,0.1304114490161,0.708855098389982,0.00138807963837187,2.2298747763864,2.25581395348837,15.9031822304114,16.2613620103757,0.0422652140357782,0.532828240674776,0.555107022988551,1.18414235256172,0.000912642079348837,33.1101388598927,0.00365271739607513,0.00802322707119857,0.0188259292349195,0.463986086965653,15.7527467228265,16.8917584231127,16.9060856143113,6.10266709103041,0.0150077327805009,5.7674108169839,2.17486762394276,2.28661971529159,0.000621144323802076,13.4818869178533,0.014456135919356,1.29732716303041,0.0830260729957066,1.92485813752773,2.03016299283721,2.73362808068694,0.00143726493664031,0.00466532136798043,5.80179607586046,6.08189266379249,6.07401270863327,0.00150689247197196,0.104445223837567,0.567714951243292,0.00111169908491869,1.78588438290161,1.80665881013953
"10","LTREB",2021-06-22,"BN",1,"EPIL",19.20732953,159.8880404,26.8470016,22.21648129,15,15.4582763337893,0.0338577291381669,0.156019151846785,0.166484268125855,0.638166894664843,0.00087688098495212,41.6210670314638,0.00288474692202462,0.00794801641586867,0.0156121751025992,0.402530779753762,14.3160054719562,16.09439124487,16.1627906976744,3.5328317373461,0.01390560875513,5.74555403556772,1.26915184678523,1.359439124487,0.000296540551960045,5.20519835841313,0.0127804377564979,2.77359781121751,0.067749658002736,1.3515731874145,1.3734610123119,2.546853625171,0.000686164746729528,0.00222727137722785,0.721614227086183,0.77359781121751,0.783173734610123,0.00071940563289344,0.105642954856361,0.538303693570451,0.000530736332318656,1.08071135430917,1.11046511627907,288.10994295,296.912207508892,0.650316560694254,2.99671126251231,3.19771819945417,12.2574818409644,0.0168425420365663,799.429549863543,0.0554082847419802,0.152660170409439,0.299868191875684,7.73154133269836,274.972234653146,309.130276224966,310.444047054651,67.856263353249,0.267089609675034,110.35674969357,24.3770177448119,26.1111952399966,0.00569575210050467,99.9779601390561,0.24547807952671,53.2734071437415,1.30129000680335,25.9601115945828,26.3805182600821,48.9182568433345,0.013179392402303,0.0427799352951522,13.8602822531806,14.8587480837414,15.0426759998974,0.0138178610567225,2.02911904644904,10.3393764296238,0.010194027628388,20.7575791090287,21.3290694199419
